,Title,Year,Publisher,Genre,Platform,Metascore,Avg_Userscore,No_Players
1013,Wizardry 8,2001,Sir-TechSoftwareInc.,Role-Playing;First-Person;First-Person;General;Western-Style,PC,85,8.3,1 Player
1014,Aliens Versus Predator 2,2001,MonolithProductions,Action;Shooter;Shooter;First-Person;Sci-Fi;Sci-Fi;Arcade,PC,85,8.7,16-Jan
1015,Operation Flashpoint: Cold War Crisis,2001,BohemiaInteractive,Action;Shooter;Shooter;First-Person;Tactical;Modern;Modern,PC,85,8.8,16-Jan
1016,Rumble Racing,2001,ElectronicArts,Driving;Racing;Arcade,PlayStation2,85,8.4,2-Jan
1017,Metal Slug X,2001,ProSoft,Action;Shooter;Scrolling,PlayStation,85,8.7,2-Jan
1018,Tropico,2001,PopTopSoftware,Strategy;Miscellaneous;Real-Time;Management;Compilation;Modern;Modern;Government,PC,85,8.3,1 Player
1019,Giants: Citizen Kabuto,2000,PlanetMoonStudios,Action;Shooter;Shooter;Third-Person;Sci-Fi;Sci-Fi;Arcade,PC,85,8.9,10-Jan
1020,MotoGP 3: Ultimate Racing Technology,2005,ClimaxGroup,Driving;Racing;Motorcycle;Street,Xbox,85,8.4,16  Online
1021,Dead or Alive 4,2005,TeamNinja,Action;Fighting;Fighting;3D;3D,Xbox360,85,8.2,16  Online
1022,NASCAR SimRacing,2005,EATiburon,Driving;Racing;Simulation;Stock Car;Stock Car;Automobile,PC,85,4.7,44  Online
1023,Pure,2008,BlackRockStudio,Driving;Racing;Arcade;Arcade;Automobile,Xbox360,85,7.6,Up to 16 
1024,LocoRoco 2,2009,SCEJapanStudio,Action;Platformer;Platformer;2D;2D,PSP,85,8.5,4-Jan
1025,The Lord of the Rings Online: Mines of Moria,2008,TurbineInc.,Role-Playing;Massively Multiplayer Online;Massively Multiplayer;Fantasy;Fantasy,PC,85,8.2,Massively Multiplayer
1026,SoulCalibur IV,2008,Namco,Action;Fighting;Fighting;3D;3D,PlayStation3,85,7.8,4  Online
1027,Kingdom Hearts,2002,SquareSoft,Role-Playing;Action RPG,PlayStation2,85,8.8,1 Player
1028,The Binding of Isaac: Afterbirth,2015,Nicalis,Action;Shooter;Shoot-'Em-Up;Top-Down,PC,85,8.2,not specified
1029,Amnesia: The Dark Descent,2010,FrictionalGames,Action Adventure;Horror;Horror;Survival,PC,85,8.6,not specified
1030,Project Gotham Racing,2001,BizarreCreations,Driving;Racing;GT / Street,Xbox,85,8.2,4-Jan
1031,Fable,2004,BigBlueBox,Role-Playing;Action RPG,Xbox,85,8.4,1 Player
1032,Forza Horizon,2012,"PLAYGROUND,PlaygroundGames",Driving;Racing;Simulation;GT / Street;GT / Street;Automobile,Xbox360,85,8.4,Up to 8 
1033,Chaos Reborn,2015,SnapshotGamesInc.,Fantasy;Strategy;Turn-Based;General,PC,85,8.3,not specified
1034,Assassin's Creed Origins,2017,"Ubisoft,UbisoftMontreal",Action Adventure;Open-World,XboxOne,85,7.5,No Online Multiplayer
1035,GTR: FIA GT Racing Game,2005,SimBin,Driving;Racing;Simulation;GT / Street;Automobile,PC,85,8.6,Up to 60 
1036,Shadow Hearts: Covenant,2004,Nautilus,Role-Playing;Console-style RPG,PlayStation2,85,9,1 Player
1037,Rogue Legacy,2014,CellarDoorGames,Action;Platformer;Platformer;2D;2D,PlayStationVita,85,7.8,1 Player
1038,Syphon Filter: Logan's Shadow,2007,SonyBend,Action;Shooter;Shooter;Third-Person;Modern;Modern;Arcade,PSP,85,8.8,8  Online
1039,Football Manager 2011,2010,SportsInteractive,Sports;Traditional;Team;Soccer;Management;Management,PC,85,8.3,not specified
1040,Dust: An Elysian Tail,2013,HumbleHearts,Role-Playing;Action RPG;Action RPG,PC,85,8.5,No Online Multiplayer
1041,NBA Live 2005,2004,EACanada,Sports;Traditional;Basketball;Sim,Xbox,85,7.6,2  Online
1042,South Park: The Stick of Truth,2014,ObsidianEntertainment,Role-Playing;General;General,PC,85,8.6,No Online Multiplayer
1043,Yakuza Kiwami 2,2018,Sega,Action Adventure;Open-World,PlayStation4,85,8.7,No Online Multiplayer
1044,Fire Emblem: The Sacred Stones,2005,IntelligentSystems,Strategy;Turn-Based;Fantasy,GameBoyAdvance,85,9,4-Jan
1045,Dark Souls: Prepare to Die Edition,2012,FromSoftware,Role-Playing;Action RPG;Action RPG,PC,85,7.6,Online Multiplayer
1046,The Binding of Isaac: Afterbirth +,2017,EdmundMcMillen,Action;Shooter;Shoot-'Em-Up;Top-Down,Switch,85,8.1,No Online Multiplayer
1047,Shadow Tactics: Blades of the Shogun,2016,MimimiProductions,Strategy;Real-Time;Tactics,PC,85,8.5,No Online Multiplayer
1048,Super Smash Bros. for Nintendo 3DS,2014,BandaiNamcoGames,Fighting;3D;2D;Action;Fighting;2D;3D,3DS,85,8.6,Up to 4 
1049,Medieval II: Total War Kingdoms,2007,CreativeAssembly,Strategy;Real-Time;Historic;General,PC,85,8.8,8  Online
1050,Call of Duty: World at War,2008,Treyarch,Action;Shooter;Shooter;First-Person;Historic;Historic;Arcade,PlayStation3,85,7.6,Up to 18 
1051,DJMax Respect,2018,RockyStudio,Action;Rhythm;Music,PlayStation4,85,7.5,2
1052,SUPERHOT VR,2016,SUPERHOT,Action;Shooter;First-Person;Tactical,PC,85,6.8,No Online Multiplayer
1053,Resogun: Defenders,2015,Housemarque,Action;Shooter;Shoot-'Em-Up;Horizontal,PlayStation4,85,7.1,not specified
1054,The Legend of Zelda: Four Swords Anniversary Edition,2011,GREZZO,Action Adventure;Fantasy;General;Fantasy,DS,85,7.4,not specified
1055,Maboshi's Arcade,2008,Mindware,Miscellaneous;Puzzle;Action;Puzzle;Puzzle;Action,Wii,85,7.8,3-Jan
1056,Peggle Deluxe,2007,PopCap,Miscellaneous;Puzzle;Action;Puzzle;Puzzle;Action,PC,85,8.1,not specified
1057,WWE SmackDown! Here Comes the Pain,2003,Yuke's,Action;Fighting;Wrestling,PlayStation2,85,8.9,6-Jan
1058,Hot Shots Golf 3,2002,ClapHanz,Sports;Traditional;Golf;Arcade,PlayStation2,85,8.9,4-Jan
1059,Monopoly Tycoon,2001,DeepRed,Strategy;Tycoon;Management;Tycoon;Business / Tycoon,PC,85,8,4-Jan
1060,FIFA 2001 Major League Soccer,2000,EASports,Sports;Traditional;Soccer;Sim,PlayStation,85,7.8,not specified
1061,Indigo Prophecy,2005,QuanticDream,Adventure;3D;Modern;Third-Person;Modern,PC,85,8.3,No Online Multiplayer
1062,Prince of Persia: The Two Thrones,2005,Ubisoft,Action Adventure;Fantasy;Fantasy;Linear,PC,85,8,No Online Multiplayer
1063,Sam & Max Episode 204: Chariots of the Dogs,2008,TelltaleGames,Adventure;General;3D;Point-and-Click;Third-Person,PC,85,8.1,1 Player
1064,Marvel vs. Capcom 3: Fate of Two Worlds,2011,Capcom,Action;Fighting;Fighting;2D;2D,Xbox360,85,7.1,not specified
1065,Assetto Corsa,2014,KunosSimulazioni,Driving;General;GT / Street;Racing;Simulation;Automobile,PC,85,8.4,Online Multiplayer
1066,Ys VIII: Lacrimosa of DANA,2017,Falcom,Role-Playing;Action RPG,PlayStation4,85,8.3,No Online Multiplayer
1067,Machinarium,2009,AmanitaDesign,Adventure;General;Third-Person;General;Point-and-Click;Sci-Fi,PC,85,8.7,not specified
1068,Frozen Synapse,2011,Mode7Games,Strategy;Turn-Based;General;Modern;Tactics,PC,85,7.7,not specified
1069,Champions of Norrath,2004,SnowblindStudios,Role-Playing;Action RPG,PlayStation2,85,8.2,4-Jan
1070,Freelancer,2003,DigitalAnvil,Simulation;Sci-Fi;Space;Small Spaceship;Small Spaceship;Combat,PC,85,8.9,Jan-32
1071,Zenzizenzic,2015,RuudKoorevaar,Action;General,PC,85,6.1,not specified
1072,NBA Jam: On Fire Edition,2011,EASports,Sports;Traditional;Team;Basketball;Arcade;Arcade,Xbox360,85,7.3,not specified
1073,Galactic Civilizations III: Crusade,2017,Stardock,Strategy;Turn-Based;4X,PC,85,6.7,not specified
1074,Final Fantasy IV Advance,2005,TOSE,Role-Playing;Console-style RPG,GameBoyAdvance,85,7.4,1 Player
1075,Final Fantasy XV: Windows Edition,2018,SquareEnix,Role-Playing;Action RPG,PC,85,7.2,Up to 4 
1076,Super Stardust HD,2007,Housemarque,Action;General;Shooter;Shooter;Static;Static;Shoot-'Em-Up;Top-Down,PlayStation3,85,8.4,2-Jan
1077,Sine Mora,2012,"DigitalReality,GrasshopperManufacture",Action;Shooter;Shooter;Scrolling;Scrolling;Shoot-'Em-Up;Vertical;Horizontal,PlayStationVita,85,7.2,not specified
1078,Super Paper Mario,2007,IntelligentSystems,Action;Platformer;Platformer;3D;3D,Wii,85,8,1 Player
1079,Mega Man Legacy Collection,2015,DigitalEclipse,Miscellaneous;Compilation,PC,85,7.5,No Online Multiplayer
1080,Star Wars: Rogue Squadron,1998,Factor5,Simulation;Sci-Fi;Small Spaceship,Nintendo64,85,8.6,1 Player
1081,"Warhammer 40,000: Dawn of War II - Chaos Rising",2010,Relic,Strategy;Real-Time;Fantasy;General;Fantasy,PC,85,8.7,not specified
1082,Far Cry 2,2008,UbisoftMontreal,Action;Shooter;Shooter;First-Person;Modern;Modern;Arcade,PC,85,5.8,16  Online
1083,Professor Layton and the Curious Village,2008,Level5,Miscellaneous;Adventure;Puzzle;Edutainment;General;Puzzle;General,DS,85,8.5,No Online Multiplayer
1084,AudioSurf,2008,BestGameEver.com,Action;Miscellaneous;Rhythm;Music;Music,PC,85,8.8,1 Player
1085,Super Mario 64 DS,2004,Nintendo,Action;Platformer;Platformer;3D;3D,DS,85,8.2,No Online Multiplayer
1086,Dead Rising,2006,Capcom,Action Adventure;Horror;Horror;Open-World,Xbox360,85,7.6,No Online Multiplayer
1087,MLB The Show 17,2017,SonyInteractiveEntertainment,Sports;Team;Baseball;Sim,PlayStation4,85,6.9,Online Multiplayer
1088,BattleBlock Theater,2014,TheBehemoth,Action;Platformer;2D,PC,85,8,Online Multiplayer
1089,Star Wars: Knights of the Old Republic II - The Sith Lords,2005,ObsidianEntertainment,Role-Playing;Third-Person;Third-Person;General,PC,85,8.4,No Online Multiplayer
1090,Mario Kart 7,2011,"RetroStudios,EntertainmentAnalysis&DevelopmentDivision",Driving;Racing;Arcade;Kart;Kart;Automobile,3DS,85,8.3,Up to 8 
1091,Halo: The Master Chief Collection,2014,343Industries,Miscellaneous;Compilation;Action;Shooter;First-Person;Sci-Fi;Arcade,XboxOne,85,7.4,Up to 16 
1092,Batman: The Enemy Within - Episode 5: Same Stitch,2018,TelltaleGames,Adventure;Point-and-Click,PC,85,7.9,No Online Multiplayer
1093,Phantasy Star Online Episode I & II,2002,SonicTeam,Role-Playing;Massively Multiplayer Online;Sci-Fi,GameCube,85,8.3,4-Jan
1094,Assault Android Cactus,2016,WitchBeam,General;Scrolling;Action;Shooter;Shoot-'Em-Up;Top-Down,PlayStation4,85,6.7,not specified
1095,Persona 4 Arena Ultimax,2014,ArcSystemWorks,Action;Fighting;2D,Xbox360,85,7.4,not specified
1096,Darksiders II,2012,VigilGames,Modern;Action Adventure;Fantasy;Fantasy;Open-World,WiiU,85,8.2,1 Player
1097,Fire Emblem: Path of Radiance,2005,IntelligentSystems,Strategy;Turn-Based;Fantasy,GameCube,85,8.9,1 Player
1098,Final Fantasy XI,2004,SquareEnix,Role-Playing;Massively Multiplayer Online;Fantasy,PlayStation2,85,6.9,Massively Multiplayer
1099,Full Metal Furies,2018,CellarDoorGames,Action;Beat-'Em-Up;2D,PC,85,7.3,Online Multiplayer
1100,Super Mega Baseball,2014,MetalheadSoftware,Traditional;Sports;Team;Baseball;Arcade,PlayStation4,85,7.3,not specified
1101,DDRMAX: Dance Dance Revolution,2002,KCET,Miscellaneous;Rhythm;Dancing,PlayStation2,85,8.8,2-Jan
1102,NASCAR Thunder 2002,2001,EASports,Driving;Racing;Stock Car,PlayStation2,85,8.5,4-Jan
1103,F355 Challenge,2000,Sega,Driving;Racing;GT / Street,Dreamcast,85,8.2,not specified
1104,The Elder Scrolls III: Bloodmoon,2003,BethesdaSoftworks,Role-Playing;First-Person;First-Person;Western-Style,PC,85,8.3,1 Player
1105,Boom Blox,2008,EALA,Miscellaneous;Puzzle;Puzzle;General;Puzzle;General,Wii,85,8.6,4-Jan
1106,Madden NFL 08,2007,EATiburon,Sports;Traditional;Team;Football;Sim;Sim,Xbox360,85,6.5,2  Online
1107,Shantae: Half-Genie Hero - Ultimate Edition,2018,WayForward,Action;Platformer;2D,Switch,84,7.6,No Online Multiplayer
1108,Castlevania: Lords of Shadow,2010,MercurySteam,Action Adventure;Fantasy;General;Fantasy,PlayStation3,85,8,No Online Multiplayer
1109,Pokemon Diamond Version,2007,GameFreak,Role-Playing;Console-style RPG;Console-style RPG;Trainer,DS,85,8,2
1110,Virtua Fighter 5,2007,SegaAM2,Action;Fighting;Fighting;3D;3D,PlayStation3,85,7.3,2-Jan
1111,Thief: Deadly Shadows,2004,IonStorm,Action Adventure;Fantasy;General;Fantasy,PC,85,8.3,No Online Multiplayer
1112,Sam & Max: The Devil's Playhouse - Episode 2: The Tomb of Sammun-Mak,2010,TelltaleGames,Miscellaneous;Adventure;General;3D;Compilation;Third-Person,PlayStation3,85,7.8,not specified
1113,The Wolf Among Us: Episode 5 - Cry Wolf,2014,TelltaleGames,Action Adventure;Adventure;General;Fantasy;Point-and-Click,Xbox360,85,8.3,not specified
1114,Football Manager 2014,2013,SportsInteractive,Sports;Traditional;Team;Soccer;Management;Management,PC,85,5.6,not specified
1115,System Shock: Enhanced Edition,2015,LookingGlassStudios,Action Adventure;General,PC,85,8.5,No Online Multiplayer
1116,Metal Gear Solid: The Twin Snakes,2004,SiliconKnights,Action Adventure;Modern,GameCube,85,8.9,1 Player
1117,EverQuest: Gates of Discord,2004,SonyOnlineEntertainment,Role-Playing;Massively Multiplayer Online;Massively Multiplayer;Fantasy;Fantasy,PC,85,6.8,Massively Multiplayer
1118,The Lord of the Rings: The Return of the King,2003,EAGames,Action;Beat-'Em-Up,PlayStation2,85,8.6,2-Jan
1119,NASCAR Thunder 2003,2002,EASports,Driving;Racing;Stock Car,GameCube,85,6.6,4-Jan
1120,Fight Night 2004,2004,EASports,Sports;Traditional;Boxing,Xbox,85,8.5,2-Jan
1121,Wipeout: Omega Collection,2017,SonyInteractiveEntertainment,Racing;Arcade;Futuristic,PlayStation4,85,8.7,Up to 8 
1122,Mortal Kombat XL,2016,NetherRealmStudios,Action;Fighting;2D,PlayStation4,85,7.8,Up to 10 
1123,Sid Meier's Civilization V: Brave New World,2013,FiraxisGames,Strategy;Turn-Based;Historic;Historic;4X,PC,85,8.6,not specified
1124,The Warriors,2005,RockstarToronto,Action;Beat-'Em-Up,Xbox,85,8.2,2-Jan
1125,Geometry Wars 3: Dimensions,2014,LucidGames,Action;Shooter;Static;Shoot-'Em-Up;Top-Down,PlayStation4,85,7.5,Up to 8 
1126,MLB The Show 16,2016,SCEASanDiegoStudios,Sports;Team;Baseball;Arcade;Sim,PlayStation4,85,7.2,not specified
1127,Final Fantasy IV,2008,MatrixSoftware,Role-Playing;Console-style RPG;Console-style RPG;Japanese-Style,DS,85,7.7,No Online Multiplayer
1128,Darkest Dungeon,2018,RedHookStudios,Role-Playing;General,Switch,85,8.3,No Online Multiplayer
1129,Mutant Mudds Collection,2017,"RenegadeKid,AtooiLLC",Action;Miscellaneous;Platformer;Compilation;2D,Switch,85,7.8,not specified
1130,NeuroVoider,2017,FlyingOakGames,Action;Shooter;Shoot-'Em-Up;Top-Down,Switch,85,8,not specified
1131,The Last Door: Season 2,2016,TheGameKitchen,Adventure;Point-and-Click,PC,85,7.1,No Online Multiplayer
1132,Brothers in Arms: Earned in Blood,2005,GearboxSoftware,Action;Shooter;First-Person;Historic,Xbox,85,8.6,4  Online
1133,Far Cry 4,2014,UbisoftMontreal,Action;Shooter;First-Person;Modern;Arcade,PlayStation4,85,7.7,Up to 10 
1134,Tetris,2009,EAMobile,Miscellaneous;Puzzle;Puzzle;Puzzle;Stacking;General,PSP,85,8.7,not specified
1135,Trine 2,2011,"Frozenbyte,Inc.",Action;Platformer;Platformer;2D;2D,Xbox360,85,7.3,not specified
1136,Need for Speed Underground,2003,EABlackBox,Driving;Racing;GT / Street,PlayStation2,85,8.7,4-Jan
1137,Serious Sam: The Second Encounter,2002,Croteam,Action;Shooter;Shooter;First-Person;Sci-Fi;Arcade,PC,85,8.6,Jan-32
1138,The Sims: Hot Date,2001,Maxis,Simulation;Miscellaneous;Virtual Life;Virtual;Virtual Life,PC,85,7.8,1 Player
1139,American McGee's Alice,2000,RogueEntertainment,Action Adventure;Horror;Horror;Survival,PC,85,8.1,1 Player
1140,Turok: Dinosaur Hunter,1997,IguanaEntertainment,Action;Shooter;First-Person;Sci-Fi,Nintendo64,85,8.2,1 Player
1141,Castlevania: Order of Ecclesia,2008,Konami,Action;Role-Playing;Platformer;Platformer;Action RPG;2D;2D,DS,85,8.5,No Online Multiplayer
1142,Batman: Arkham City - Armored Edition,2012,"RocksteadyStudios,WBGamesMontreal",Action Adventure;Fantasy;Fantasy;Open-World,WiiU,85,8.4,1 Player
1143,Chime Sharp,2016,"Twistplay,SteCurran",Puzzle;General,PC,85,4.8,No Online Multiplayer
1144,Trials Evolution: Gold Edition,2013,RedLynx,Driving;Racing;Arcade;Motorcycle;Other;Motocross;Motocross,PC,85,6.8,not specified
1145,Prince of Persia,2008,UbisoftMontreal,Action Adventure;Fantasy;General;Fantasy,PlayStation3,85,7.4,1 Player
1146,Moss,2018,Polyarc,Action Adventure;General,PlayStation4,85,8.6,No Online Multiplayer
1147,Sid Meier's Civilization Revolution,2008,FiraxisGames,Strategy;Turn-Based;Historic;General;Historic,PlayStation3,85,7.6,Up to 4 
1148,ESPN NBA 2K5,2004,VisualConcepts,Sports;Traditional;Basketball;Sim,Xbox,85,8.7,2  Online
1149,"Warhammer 40,000: Dawn of War - Winter Assault",2005,Relic,Strategy;Real-Time;Sci-Fi;Sci-Fi;General,PC,85,8.3,8  Online
1150,Silent Hill 3,2003,KCET,Action Adventure;Horror,PlayStation2,85,8.9,1 Player
1151,Terraria,2013,EngineSoftware,Action;Action Adventure;Platformer;Platformer;Sandbox;2D;2D,PlayStationVita,85,8,Up to 8 
1152,Starcraft Remastered,2017,BlizzardEntertainment,Strategy;Real-Time;Command,PC,85,7.6,not specified
1153,NBA 2K18,2017,2KGames,Sports;Team;Basketball;Sim,XboxOne,85,1.6,Up to 10 
1154,Planescape: Torment - Enhanced Edition,2017,Beamdog,Role-Playing;Western-Style,PC,85,6.7,No Online Multiplayer
1155,Pyre,2017,SupergiantGames,Role-Playing;General,PlayStation4,85,8,not specified
1156,Tony Hawk's Underground 2,2004,NeversoftEntertainment,Sports;Alternative;Individual;Skateboarding;Skateboarding;Skate / Skateboard,PC,85,8.1,8  Online
1157,FIFA 17,2016,"EASports,EAVancouver",Sports;Team;Soccer;Sim,PlayStation4,85,4.9,Up to 22 
1158,inFamous,2009,SuckerPunch,Action Adventure;Modern;Sci-Fi;Sci-Fi;Open-World,PlayStation3,85,8.3,No Online Multiplayer
1159,"Papers, Please",2013,LucasPope,Adventure;General;General,PC,85,8.5,not specified
1160,Space Invaders Extreme,2008,TaitoCorporation,Action;Shooter;Shooter;Static;Static;Shoot-'Em-Up;Vertical,DS,85,7.8,2  Online
1161,Tiger Woods PGA Tour 12: The Masters,2011,ElectronicArts,Sports;Traditional;Individual;Golf;Sim;Sim,Wii,85,7.1,not specified
1162,Radiant Historia: Perfect Chronology,2018,Atlus,Role-Playing;Japanese-Style,3DS,85,8.4,No Online Multiplayer
1163,Star Wars: The Old Republic,2011,"LucasArts,BioWare",Sci-Fi;Role-Playing;Massively Multiplayer Online;Massively Multiplayer;Sci-Fi,PC,85,5.9,Massively Multiplayer
1164,Mario + Rabbids: Kingdom Battle,2017,"Ubisoft,UbisoftMilan",Action;General;Strategy;Turn-Based;Tactics,Switch,85,8.5,No Online Multiplayer
1165,Flat Heroes,2018,ParallelCircles,Action;Platformer;2D,Switch,85,7.9,No Online Multiplayer
1166,Gone Home: Console Edition,2016,"TheFullbrightCompany,MidnightCity",Adventure;3D;First-Person,PlayStation4,85,4.5,not specified
1167,Ratchet & Clank: Size Matters,2007,HighImpactGames,Action;Shooter;Platformer;Shooter;Third-Person;3D;Sci-Fi;Sci-Fi;Arcade,PSP,85,8.2,4  Online
1168,FIFA 07 Soccer,2006,EASports,Sports;Traditional;Soccer;Sim,Xbox,85,8.7,4  Online
1169,Anarchy Online: Shadowlands,2003,Funcom,Role-Playing;Massively Multiplayer Online;Massively Multiplayer;Sci-Fi;Sci-Fi,PC,85,8.5,Massively Multiplayer
1170,Dark Age of Camelot: Shrouded Isles,2002,MythicEntertainment,Role-Playing;Massively Multiplayer Online;Fantasy;Fantasy,PC,85,8.3,Massively Multiplayer
1171,NASCAR: Dirt to Daytona,2002,MonsterGamesInc.,Driving;Racing;Stock Car,GameCube,85,7.6,4-Jan
1172,Dave Mirra Freestyle BMX 2,2001,Full-Fat,Sports;Alternative;Biking,GameBoyAdvance,85,tbd,2-Jan
1173,NFL Blitz 2000,1999,Midway,Sports;Traditional;Football;Arcade,Nintendo64,85,8.2,4-Jan
1174,Obsidian,1996,RocketScienceGames,Adventure;General;General,PC,85,8.3,1 Player
1175,Battlefield: Bad Company,2008,EADICE,Action;Shooter;Shooter;First-Person;Modern;Modern;Arcade,PlayStation3,84,8.1,Up to 24 
1176,Mario Golf: Advance Tour,2004,CamelotSoftwarePlanning,Sports;Traditional;Golf;Sim,GameBoyAdvance,84,8.7,5-Jan
1177,Two Point Hospital,2018,TwoPointStudios,Simulation;Virtual;Career,PC,85,8.6,No Online Multiplayer
1178,The Walking Dead: Episode 2 - Starved for Help,2012,TelltaleGames,Miscellaneous;Adventure;General;Compilation;Point-and-Click,PC,84,8.6,not specified
1179,Saints Row: The Third,2011,VolitionInc.,Action Adventure;Modern;Modern;Open-World,PC,84,8.1,not specified
1180,Bomberman Live,2007,BackboneEntertainment,Miscellaneous;Puzzle;Action;General;Puzzle;Action,Xbox360,84,8,8  Online
1181,Ni no Kuni II: Revenant Kingdom,2018,Level5,Action RPG;Role-Playing;Japanese-Style,PlayStation4,84,8.1,No Online Multiplayer
1182,Project CARS 2,2017,"BandaiNamcoGames,SlightlyMadStudios",Racing;Simulation;Automobile,XboxOne,84,5.6,not specified
1183,Statik,2017,TarsierStudios,Adventure;3D;First-Person,PlayStation4,84,7.9,not specified
1184,Fallout: New Vegas,2010,ObsidianEntertainment,Role-Playing;Action RPG;First-Person;First-Person;Western-Style,PC,84,8.6,No Online Multiplayer
1185,Valkyria Chronicles Remastered,2016,Sega,Strategy;Turn-Based;Tactics,PlayStation4,84,8.3,not specified
1186,Peggle: Dual Shot,2009,QEntertainment,Miscellaneous;Puzzle;Action;Puzzle;Puzzle;Action,DS,84,8.2,2-Jan
1187,Disgaea: Hour of Darkness,2003,NipponIchiSoftware,Strategy;Turn-Based;Fantasy,PlayStation2,84,8.8,1 Player
1188,Kingdom Hearts HD I.5 + II.5 Remix,2017,SquareEnix,Miscellaneous;Compilation,PlayStation4,84,8.6,No Online Multiplayer
1189,Tiger Woods PGA Tour 11,2010,EASports,Sports;Traditional;Individual;Golf;Sim;Sim,Wii,84,8.3,not specified
1190,The Movies,2005,LionheadStudios,Strategy;Tycoon;Management;Tycoon;Business / Tycoon,PC,84,8.3,1 Player
1191,Virtua Tennis: World Tour,2005,SumoDigital,Sports;Traditional;Individual;Tennis;Tennis,PSP,84,8.8,4-Jan
1192,Rare Replay,2015,"RareLtd.,CodeMysticsInc.",Miscellaneous;Compilation,XboxOne,84,8,Up to 32 
1193,Neverwinter Nights: Hordes of the Underdark,2003,BioWare,Role-Playing;PC-style RPG;PC-style RPG;Western-Style,PC,84,8.4,16-Jan
1194,FIFA Soccer 2004,2003,EACanada,Sports;Traditional;Soccer;Sim,PlayStation2,84,6.4,4-Jan
1195,Command & Conquer: Generals,2003,EAPacific,Strategy;Real-Time;Modern;General;Modern,PC,84,8.3,8-Jan
1196,Sid Meier's SimGolf,2002,FiraxisGames,Strategy;Real-Time;Modern;General,PC,84,8.2,1 Player
1197,Quake III Revolution,2001,BullfrogProductions,Action;Shooter;First-Person;Sci-Fi,PlayStation2,84,7.3,4-Jan
1198,Street Fighter III: Double Impact,2000,Capcom,Action;Fighting;2D,Dreamcast,84,8.2,2-Jan
1199,SpaceChem,2011,ZachtronicsIndustries,Miscellaneous;Puzzle;General;Puzzle;General,PC,84,8.4,No Online Multiplayer
1200,Viva Pinata,2006,RareLtd.,Simulation;Miscellaneous;Virtual Life;Virtual;Virtual Life,Xbox360,84,7.9,2  Online
1201,Freedom Planet,2015,GalaxyTrail,Action;Platformer;2D,WiiU,84,8.5,not specified
1202,Pokemon Ultra Sun,2017,GameFreak,Role-Playing;Trainer,3DS,84,9,Up to 4 
1203,Fatal Frame II: Crimson Butterfly Director's Cut,2004,Tecmo,Action Adventure;Horror,Xbox,84,8.4,1 Player
1204,South Park: The Fractured But Whole,2017,UbisoftSanFrancisco,Role-Playing;General,XboxOne,84,7.6,No Online Multiplayer
1205,Blast Off,2009,HalfbrickStudios,Miscellaneous;Puzzle;Puzzle;General;Puzzle;General,PSP,84,7.4,not specified
1206,Star Wars: Starfighter,2001,LucasArts,Simulation;Sci-Fi;Small Spaceship,PlayStation2,84,8,1 Player
1207,TimeSplitters: Future Perfect,2005,FreeRadicalDesign,Action;Shooter;First-Person;Sci-Fi,PlayStation2,84,8.9,4-Jan
1208,PlanetSide 2,2012,SonyOnlineEntertainment,Role-Playing;Sci-Fi;Massively Multiplayer Online;Action;Shooter;Shooter;First-Person;Tactical;Sci-Fi;Sci-Fi;Arcade,PC,84,7,not specified
1209,Planet Coaster,2016,FrontierDevelopments,Strategy;Management;Business / Tycoon,PC,84,7.7,No Online Multiplayer
1210,Shovel Knight: Specter of Torment,2017,YachtClubGames,Action;Platformer;2D,Switch,84,7.9,not specified
1211,Street Fighter X Tekken,2012,Capcom,Action;Fighting;Fighting;3D;2D;3D,PlayStation3,84,5.4,Up to 8 
1212,Guilty Gear Xrd -SIGN-,2014,ArcSystemWorks,Action;Fighting;2D,PlayStation4,84,8,not specified
1213,'Splosion Man,2009,TwistedPixelGames,Action;General;Platformer;Platformer;2D;2D,Xbox360,84,7.8,4  Online
1214,TxK,2014,Llamasoft,Action;Shooter;Static;Shoot-'Em-Up;Top-Down,PlayStationVita,84,7.2,not specified
1215,Pro Evolution Soccer 2009,2009,Konami,Sports;Traditional;Team;Soccer;Sim;Sim,Wii,84,8.9,2  Online
1216,Beyond Good & Evil HD,2011,Ubisoft,Action Adventure;Fantasy;General;Fantasy,Xbox360,84,8.5,No Online Multiplayer
1217,Midnight Club 3: DUB Edition,2005,RockstarSanDiego,Driving;Racing;GT / Street,PlayStation2,84,9,8  Online
1218,High Heat Major League Baseball 2003,2002,3DO,Sports;Traditional;Baseball;Sim,PlayStation2,84,7.9,2-Jan
1219,Super Street Fighter II: Turbo Revival,2001,Capcom,Action;Fighting;2D,GameBoyAdvance,84,7.8,not specified
1220,Rakuen,2017,LauraShigihara,Adventure;General;General,PC,84,8.3,not specified
1221,BioShock: The Collection,2016,2KGames,Action;Miscellaneous;Shooter;Compilation;First-Person;Arcade,XboxOne,84,8.6,not specified
1222,GT Legends,2006,SimBin,Driving;Racing;Simulation;GT / Street;GT / Street;Automobile,PC,84,8.3,16  Online
1223,F1 2010,2010,CodemastersBirmingham,Driving;Racing;Simulation;Formula One;Formula One;Automobile,PlayStation3,84,8,not specified
1224,Maximo: Ghosts to Glory,2002,Capcom,Action;Platformer;3D,PlayStation2,84,8.7,1 Player
