,Title,Year,Publisher,Genre,Platform,Metascore,Avg_Userscore,No_Players
50,Call of Duty: Modern Warfare 2,2009,InfinityWard,Action;Shooter;Shooter;First-Person;Modern;Modern;Arcade,PlayStation3,94,6.4,Up to 18 
51,Tony Hawk's Pro Skater 4,2002,NeversoftEntertainment,Sports;Alternative;Skateboarding,PlayStation2,94,8.4,8-Jan
52,Devil May Cry,2001,Capcom,Action Adventure;Fantasy,PlayStation2,94,8.6,1 Player
53,Call of Duty 4: Modern Warfare,2007,InfinityWard,Action;Shooter;Shooter;First-Person;Modern;Modern;Arcade,PlayStation3,94,8.4,Up to 18 
54,Madden NFL 2002,2001,EASports,Sports;Traditional;Football;Sim,PlayStation2,94,7.4,8-Jan
55,God of War,2018,SCESantaMonica,Action Adventure;Linear,PlayStation4,94,9.1,No Online Multiplayer
56,The Legend of Zelda: Ocarina of Time 3D,2011,GREZZO,Miscellaneous;Action Adventure;Fantasy;Fantasy;Compilation;Open-World,3DS,94,8.9,No Online Multiplayer
57,Chrono Cross,2000,SquareSoft,Role-Playing;Console-style RPG,PlayStation,94,8.2,1 Player
58,Madden NFL 2004,2003,EATiburon,Sports;Traditional;Football;Sim,PlayStation2,94,8.4,8-Jan
59,Gears of War,2006,EpicGames,Action;Shooter;Shooter;Third-Person;Sci-Fi;Sci-Fi;Arcade,Xbox360,94,8.3,8  Online
60,The Elder Scrolls IV: Oblivion,2006,BethesdaSoftworks,Role-Playing;First-Person;First-Person;Western-Style,Xbox360,94,8.7,No Online Multiplayer
61,Sid Meier's Civilization II,1996,MPSLabs,Strategy;Turn-Based;Historic;General;Historic;4X,PC,94,8.9,1 Player
62,Quake,1996,idSoftware,Action;Shooter;Shooter;First-Person;Sci-Fi;Sci-Fi;Arcade,PC,94,8.8,16-Jan
63,Halo 3,2007,"BungieSoftware,Bungie",Action;Shooter;Shooter;First-Person;Sci-Fi;Sci-Fi;Arcade,Xbox360,94,7.9,4-Jan
64,Ninja Gaiden Black,2005,TeamNinja,Action Adventure;Fantasy,Xbox,94,8.7,1 Player
65,Street Fighter IV,2009,Capcom,Action;Fighting;Fighting;3D;2D;3D,PlayStation3,94,7.3,2  Online
66,Celeste,2018,MattMakesGamesInc.,Action;Platformer;2D,XboxOne,94,6.4,No Online Multiplayer
67,Super Mario Advance 4: Super Mario Bros. 3,2003,Nintendo,Action;Platformer;2D,GameBoyAdvance,94,8.9,4-Jan
68,Jet Grind Radio,2000,Smilebit,Action;Platformer;3D,Dreamcast,94,8,not specified
69,Metal Gear Solid,1998,KCEJ,Action Adventure;Modern,PlayStation,94,9.2,1 Player
70,Grim Fandango,1998,LucasArts,Adventure;General;General;3D;Third-Person;Fantasy,PC,94,9.1,No Online Multiplayer
71,Tom Clancy's Splinter Cell Chaos Theory,2005,UbisoftMontreal,Action Adventure;Modern,Xbox,94,8.9,4  Online
72,Burnout 3: Takedown,2004,CriterionGames,Driving;Racing;Arcade,Xbox,94,7.4,8  Online
73,Diablo,1996,BlizzardEntertainment,Role-Playing;Action RPG;Action RPG,PC,94,8.7,4-Jan
74,Metal Gear Solid 3: Subsistence,2006,Aspect,Action Adventure;Modern,PlayStation2,94,9,8  Online
75,Metal Gear Solid 4: Guns of the Patriots,2008,KojimaProductions,Action Adventure;Modern;General;Modern,PlayStation3,94,8.8,Up to 16 
76,NCAA Football 2004,2003,EASports,Sports;Traditional;Football;Sim,PlayStation2,94,8.7,8-Jan
77,Star Wars: Knights of the Old Republic,2003,BioWare,Role-Playing;Third-Person,Xbox,94,9,1 Player
78,Sid Meier's Civilization IV,2005,FiraxisGames,Strategy;Turn-Based;Historic;Historic;4X,PC,94,8.3,12  Online
79,Virtua Fighter 4,2002,SegaAM2,Action;Fighting;3D,PlayStation2,94,8.1,2-Jan
80,Super Mario 64,1996,Nintendo,Action;Platformer;3D,Nintendo64,94,9.2,1 Player
81,The Witcher 3: Wild Hunt,2015,CDProjektRedStudio,Action RPG;Role-Playing;Action RPG,PC,93,9.3,No Online Multiplayer
82,Super Smash Bros. Brawl,2008,GameArts,Action;Fighting;Fighting;3D;2D;3D,Wii,93,8.9,Up to 4 
83,Company of Heroes,2006,Relic,Strategy;Real-Time;Historic;General;Historic,PC,93,8.8,8  Online
84,Gran Turismo 2,1999,PolyphonyDigital,Driving;Racing;GT / Street,PlayStation,93,9,2-Jan
85,Tom Clancy's Splinter Cell Pandora Tomorrow,2004,UbisoftShanghai,Action Adventure;Modern,Xbox,93,8.6,4-Jan
86,Grand Theft Auto: Chinatown Wars,2009,RockstarLeeds,Action Adventure;Modern;Modern;Open-World,DS,93,8.2,not specified
87,Pac-Man Championship Edition DX,2010,NamcoBandaiGames,Adventure;General;Action;General;General;Arcade,Xbox360,93,7.8,not specified
88,Street Fighter Alpha 3,1999,Capcom,Action;Fighting;2D,PlayStation,93,8.6,2-Jan
89,Divinity: Original Sin II,2017,LarianStudios,Action RPG;Role-Playing;Western-Style,PC,93,8.4,Online Multiplayer
90,Unreal Tournament 2004,2004,EpicGames,Action;Shooter;Shooter;First-Person;Sci-Fi;Sci-Fi;Arcade,PC,93,8.8,Jan-32
91,Braid,2008,NumberNoneInc.,Action;Platformer;Platformer;2D;2D,Xbox360,93,8.5,1 Player
92,God of War II,2007,SCESantaMonica,Action Adventure;Fantasy,PlayStation2,93,8.9,1 Player
93,Super Mario 3D World,2013,Nintendo,Platformer;3D;Action;Platformer;3D,WiiU,93,8.9,No Online Multiplayer
94,Starcraft II: Wings of Liberty,2010,BlizzardEntertainment,Strategy;Real-Time;Sci-Fi;Command,PC,93,8.2,Up to 4 
95,SSX,2000,EASportsBig,Sports;Alternative;Snowboarding,PlayStation2,93,8.4,2-Jan
96,Minecraft,2009,MojangAB,Action Adventure;Adventure;3D;Sandbox;First-Person;Fantasy;Fantasy,PC,93,7.5,Up to 10 
97,Persona 5,2017,Atlus,Role-Playing;Japanese-Style,PlayStation4,93,9.1,No Online Multiplayer
98,Persona 4 Golden,2012,Atlus,Role-Playing;Console-style RPG;Console-style RPG;Japanese-Style,PlayStationVita,93,9.2,Up to 40 
99,SSX 3,2003,EACanada,Sports;Alternative;Snowboarding,PlayStation2,93,9,2-Jan
100,Tom Clancy's Splinter Cell,2002,UbisoftMontreal,Action Adventure;Modern,Xbox,93,8.6,1 Player
101,Quake III Arena,2000,Raster,Action;Shooter;First-Person;Sci-Fi,Dreamcast,93,8.1,not specified
102,Homeworld,1999,Relic,Strategy;Real-Time;Sci-Fi;Sci-Fi;General,PC,93,8.9,8-Jan
103,Okami,2006,CloverStudio,Action Adventure;Fantasy,PlayStation2,93,9.1,1 Player
104,Fallout 3,2008,BethesdaGameStudios,Role-Playing;First-Person;First-Person;Western-Style,Xbox360,93,8.5,No Online Multiplayer
105,Gears of War 2,2008,EpicGames,Action;Shooter;Shooter;Third-Person;Sci-Fi;Sci-Fi;Arcade,Xbox360,93,7.7,2-Jan
106,SoulCalibur II,2003,Namco,Action;Fighting;3D,GameCube,93,8.8,2-Jan
107,World Soccer Winning Eleven 6 International,2003,KCET,Sports;Traditional;Soccer;Sim,PlayStation2,93,8.4,8-Jan
108,NFL 2K3,2002,VisualConcepts,Sports;Traditional;Football;Sim,PlayStation2,93,7.4,2-Jan
109,Mass Effect 3,2012,BioWare,Role-Playing;Action RPG;Action RPG,Xbox360,93,5.9,Up to 4 
110,Skies of Arcadia,2000,Overworks,Role-Playing;Console-style RPG,Dreamcast,93,8.9,not specified
111,The Legend of Zelda: Skyward Sword,2011,Nintendo,Action Adventure;Fantasy;General;Fantasy;Open-World,Wii,93,8.1,No Online Multiplayer
112,Mario Kart Super Circuit,2001,IntelligentSystems,Driving;Racing;Kart,GameBoyAdvance,93,8.2,4-Jan
113,Rock Band 3,2010,HarmonixMusicSystems,Action;Miscellaneous;Rhythm;Music;Music,Xbox360,93,8.3,not specified
114,Viewtiful Joe,2003,CloverStudio,Action;Beat-'Em-Up,GameCube,93,8.3,1 Player
115,Test Drive Le Mans,2000,MelbourneHouse,Driving;Racing;GT / Street,Dreamcast,93,7.7,not specified
116,NBA 2K1,2000,VisualConcepts,Sports;Traditional;Basketball;Sim,Dreamcast,93,7,not specified
117,Castlevania: Symphony of the Night,1997,Konami,Action;Platformer;2D,PlayStation,93,9.2,1 Player
118,Virtua Fighter 4: Evolution,2003,Sega,Action;Fighting;3D,PlayStation2,93,8.9,2-Jan
119,Uncharted 4: A Thief's End,2016,NaughtyDog,General;Modern;Action Adventure;Linear,PlayStation4,93,8.3,Up to 10 
120,Paper Mario,2001,IntelligentSystems,Role-Playing;Console-style RPG,Nintendo64,93,9.1,not specified
121,Wipeout XL,1996,Psygnosis,Driving;Racing;Futuristic,PlayStation,93,8.6,2-Jan
122,INSIDE,2016,PLAYDEAD,Action;Platformer;2D,XboxOne,93,8.2,not specified
123,World of Warcraft,2004,BlizzardEntertainment,Role-Playing;Massively Multiplayer Online;Massively Multiplayer;Fantasy;Fantasy,PC,93,7.3,Massively Multiplayer
124,Flipnote Studio,2009,Nintendo,Miscellaneous;General;Application,DS,93,8.4,not specified
125,World Soccer Winning Eleven 7 International,2004,KCET,Sports;Traditional;Soccer;Sim,PlayStation2,93,8.8,8-Jan
126,NBA 2K2,2001,VisualConcepts,Sports;Traditional;Basketball;Sim,Dreamcast,93,7.3,not specified
127,Prince of Persia: The Sands of Time,2003,Ubisoft,Action Adventure;Fantasy,Xbox,92,7.7,1 Player
128,Divinity: Original Sin II - Definitive Edition,2018,LarianStudios,Role-Playing;Western-Style,PlayStation4,92,8.5,Online Multiplayer
129,God of War III,2010,SCESantaMonica,Action Adventure;Fantasy;Fantasy;Linear,PlayStation3,92,8.8,No Online Multiplayer
130,SSX Tricky,2001,EACanada,Sports;Alternative;Snowboarding,PlayStation2,92,8.9,2-Jan
131,NHL 2002,2001,EASports,Sports;Traditional;Ice Hockey;Sim,PlayStation2,92,8.5,8-Jan
132,Guitar Hero II,2007,HarmonixMusicSystems,Action;Miscellaneous;Rhythm;Music;Music,Xbox360,92,8.1,2-Jan
133,Uncharted 3: Drake's Deception,2011,NaughtyDog,Action Adventure;Modern;Modern;Linear,PlayStation3,92,8.4,Up to 10 
134,Rock Band,2007,HarmonixMusicSystems,Action;Miscellaneous;Rhythm;Music;Music,Xbox360,92,8.2,4  Online
135,Journey,2015,TrickyPixels,Action;Platformer;3D,PlayStation4,92,8.4,2
136,Bloodborne,2015,FromSoftware,Fantasy;Role-Playing;Action Adventure;General;Action RPG,PlayStation4,92,8.9,Up to 5 
137,Eternal Darkness: Sanity's Requiem,2002,SiliconKnights,Action Adventure;Horror,GameCube,92,8.8,1 Player
138,Warcraft III: Reign of Chaos,2002,BlizzardEntertainment,Strategy;Real-Time;Fantasy;General;Fantasy,PC,92,9.1,not specified
139,The Sims,2000,Maxis,Simulation;Miscellaneous;Virtual Life;Virtual;Virtual Life,PC,92,7.9,1 Player
140,Banjo-Kazooie,1998,RareLtd.,Action;Platformer;3D,Nintendo64,92,9.1,1 Player
141,Sid Meier's Gettysburg!,1997,FiraxisGames,Strategy;Real-Time;Wargame;Real-Time;General,PC,92,7.4,8-Jan
142,Rock Band 2,2008,HarmonixMusicSystems,Action;Miscellaneous;Rhythm;Music;Music,Wii,92,7.6,4  Online
143,Forza Motorsport,2005,MicrosoftGameStudios,Driving;Racing;GT / Street,Xbox,92,7.6,8  Online
144,Super Street Fighter IV,2010,Capcom,Action;Fighting;Fighting;3D;2D;3D,PlayStation3,92,7.8,Up to 8 
145,Advance Wars,2001,IntelligentSystems,Strategy;Turn-Based;Modern,GameBoyAdvance,92,9,4-Jan
146,Vagrant Story,2000,SquareSoft,Role-Playing;Action RPG,PlayStation,92,8.5,1 Player
147,What Remains of Edith Finch,2017,GiantSparrow,Adventure;3D;First-Person,XboxOne,92,7.4,No Online Multiplayer
148,Team Fortress 2,2007,ValveSoftware,Action;Shooter;Shooter;First-Person;Modern;Tactical;Modern,PC,92,9.1,Up to 32 
149,System Shock 2,1999,"LookingGlassStudios,IrrationalGames",Action Adventure;Sci-Fi;Sci-Fi;Survival,PC,92,9.1,1 Player
150,Tom Clancy's Splinter Cell: Chaos Theory,2005,UbisoftMontreal,Action Adventure;Modern;General;Modern,PC,92,8.7,No Online Multiplayer
151,Final Fantasy XII,2006,SquareEnix,Role-Playing;Console-style RPG,PlayStation2,92,7.5,1 Player
152,Undertale,2017,tobyfox,Role-Playing;Japanese-Style,PlayStation4,92,6.5,not specified
153,Super Mario World: Super Mario Advance 2,2002,Nintendo,Action;Platformer;2D,GameBoyAdvance,92,8.9,not specified
154,ESPN NFL 2K5,2004,VisualConcepts,Sports;Traditional;Football;Sim,Xbox,92,8.9,4-Jan
155,Super Smash Bros. Melee,2001,HALLabs,Action;Fighting;3D,GameCube,92,9.1,4-Jan
156,Rome: Total War,2004,CreativeAssembly,Strategy;Real-Time;Historic;General;Historic,PC,92,9.1,8  Online
157,Forza Motorsport 3,2009,Turn10,Driving;Racing;Simulation;GT / Street;GT / Street;Automobile,Xbox360,92,8.1,Up to 8 
158,Okami HD,2017,Capcom,Action Adventure;General,PC,92,7.6,No Online Multiplayer
159,Batman: Arkham Asylum,2009,RocksteadyStudios,Action Adventure;Fantasy;General;Fantasy,Xbox360,92,8.7,No Online Multiplayer
160,Super Mario Sunshine,2002,Nintendo,Action;Platformer;3D,GameCube,92,8.6,1 Player
161,Tony Hawk's Pro Skater,1999,NeversoftEntertainment,Sports;Alternative;Skateboarding,PlayStation,92,8.9,2-Jan
